Mactra siouxensis
Turritella kansanse
Ostrea crenulimargo
Cucullaea racedens
Martesia
Inoceramus grandis
Belemnites gracilis
Isognomon wyomingensis
Nautilus elegans
Anomia gryphorhynchus
Cardium trite
Crassatella exearata
Arca micronema
Gervillia propleura
Gervillia gregaria
Gervillia
Rostellaria dalli
Ostrea prudentia
Veniella mortoni
Isocardium
Plicatula hydrotheca
Aporrhais prolabiata
Radiolites
Baculites anceps obtusus
Acanthoceras
Inoceramus bellvuensis
Unio washakiensis
Pachymya
Sphaeriola endotrachys
Stantonoceras
Mortoniceras delawarensis
Volutomorpha neomexicana
Actaeon
Anatina
Fusus venenatus
Cucullaea
Inoceramus convexus
Liopistha montanensis
Tellina cheyennensis
Corbula
Inoceramus stantoni
Veniella
Pseudomelania sp. A
Cantharus vaughani
Malacostraca
Barbatia
Engonoceras
Exogyra plexa
Goniophorus
Hamites comanchensis
Pseudodiadema texana
Heteraster riorista
Turrilites worthensis
Arca washitaensis
Douvillaster
Turritella graysonensis
Nucula wenoensis
Trigonia elavigera
Remondia acuminata
Pinna quadalupae
Salenia mexicana
Hemiaster B
Nodosaria texana
Rostellaria gracilis
Cinulia
Crassatellites
Serpula intrica
Pharella pealei
Crassatellites excavata
Isocardia
Acanthoceras sp. A
Actaeon propinquus
Turris minor
Corbicula sp. A
Unio stantoni
Veloritina cleburni
Leptesthes augheyi
Leptesthes berthoudi
Tellina pisonema
Mactra utahensis
Tylostoma torrubiae
Diplopodia planatus
Schloenbachia trinodosa
Fusus dakotensis
Terebratula depressa
Terebratula tornaensis
Terebratula menardi
Magas pumilus
Trigonarca depressa
Corbula perundata
Yoldia bisulcata
Prionocyclus macombi
Camptonectes
Geloina inflexa
Cyzicus middendorfi
Crania
Crassatellites hendricksoni
Callista pellueida
Scaphites hippocrepis
Pseudomelania
Lunatia concinna
Geloina rodecki
Gyrodes petrosus
Lunatia crassa
Glycymeris holmesiana
Glycymeris wyomingensis
Exogyra
Crassatellites n.
Gryphaea mexicana
Natica pedernalis
Turris contortus
Panopea occidentalis
Fasciolaria alleni
Lingula
Inoceramus exogyroides
Helicoceras mortoni tenuicostatum
Haminea occidentalis
Aporrhais biangulata
Nemodon sulcatinus
Teredo irregularis
Corbula crassimarginata
Pseudobuccinum nebrascense
Orbiculoidea
Placunopsis hilliardensis
Serpula tenuicarinata
Anomia concentrica
Trigonia obliqua
Inoceramus undabundus
Palaeocopida
Siliqua huerfanensis
Mactra huerfanensis
Lucina profunda
Glauconia coalvillensis
Amauropsis utahensis
Pholadomya ventricosa
Callista orbiculata
Ostrea anomoides
Inoceramus incurvus
Tellina scittula
Eutrephoceras
Inoceramus whitii
Fasciolaria buccinoides
Scaphites conradigulosus
Serpula plana
Inoceramus labiatus aviculoides
Cerithium
Volutoderma
Natica collina
Radiolites davidsoni
Lima
Orbitolina texana
Lunatia dakotensis
Protocardia
Pecten irregularis
Trigonioida
Tylostoma chihuahuense
Schloenbachia
Diplopodia taffi
Astarte acuminata
Protocardia filosa
Cucullaea terminalis recedens
Pholadomya knowltoni
Pleuromya henselli
Hamites
Plicatula incongrua
Cypricardinia texana
Buccinopsis regina
Arctica solida
Arca gratiota
Protocardia multistriata
Exogyra hilli
Ostrea hilli
Diadema texanum
Arctica retrorsa
Isocardia mediale
Gryphaea convexa
Pecten neithea
Nummulites leuticularis
Exogyra cartledgei
Pleurotomaria
Ostrea texana
Echinodermata
Pecten bellula
Plicatula dentonensis
Engonoceras pedernale
Hemiaster calvini
Venericardia wenoensis
Turrilites bosquense
Baculites codyensis
Alectryonia carinata
Hemiaster
Sarcodina
Crassatella andrewsi
Tapes cyprimeniformis
Trigonia conrad
Gryphaea wardia
Turritella simondsi
Anisomyon sexsulcatus
Acanthoscaphites nodosus
Actaeonella
Platylenticeras catenulata
Pyrifusus subturritus
Belemnitella bulbosa
Goniobasis weldensis
Corbicula eleburni
Scaphites cheyennensis
Actaeon attenuatus
Gryphaea pitcheri
Lingula nitida
Antalis paupercula
Scaphites abyssinus
Epitonium condoni
Anisomyon
Monopleura
Solen
Scaphites mandanensis
Martesia cuneata
Leptosolen undese
Aporrhais meeki
Anodonta propatoris
Hendersonia occulta
Aporrhais proabiatansis
Baculites grandis
Helicoceras navarroense
Exogyra cancellata
Cucullaea vulparis
Trigonia evfaviensis
Veniella conradi
Glycymeris lacerrosa
Paranomia scabra
Glycymeris miscrosulci
Polinices stephensoni
Turritella tippana
Turritella paraverte
Dentalium intercalatum
Teredo rectus
Acanthoscaphites
Durania niobrarensis
Rectotrochamminoides sigmoides
Rectotrochamminoides vagrans
Rectotrochamminoides arenatus
Ammobaculites euides
Ammobaculites laevigata
Ammobaculites greenhornensis
Ammomarginulina loricata
Dorothia oxyeona
Dorothia bulleta
Dorothia conula
Gaudryina pupoides
Gaudryina rudita
Trochammina diagonis
Lenticulina macrodisca
Lenticulina sublaevis
Lenticulina kansasensis
Planularia umbonata
Marginulina cretacea
Dentalina lorneiana
Dentalina communis
Dentalina basiplanata
Dentalina solvata
Dentalina niobrarensis
Dentalina reflexa
Vaginulina
Vaginulina bicostulata
Vaginulina recta
Vaginulina youngi
Palmula suturalis
Palmula rugosa
Frondicularia aclis
Frondicularia undulosa
Frondicularia
Gumbelina reussi
Gumbelina globocarinata
Gumbelina plummerae
Gumbelina moremani
Gumbelina globulosa
Gumbelina pseudotessara
Gumbelitriella acervulinoides
Planoglobulina elongata
Ventilabrella austinana
Eouvigerina genae
Bifarina cretacea
Siphogenerinoides carlilensis
Loxostomum clavatum
Loxostomum plaitum
Neobulimina irregularis
Bulimina reussi
Loxostomum tegulatum
Bolivina basisenta
Pleurostomella austiniana
Pleurostomella nitida
Valvulineria plummerae
Gyroidina depressa
Valvulineria infrequens
Anomalina limbata
Hastigerinella simplex
Globigerina cretacea
Globorotalia cushmani
Globotruncana arca
Globorotalia umbilicata
Globorotalia multiloculata
Globorotalia greenhornensis
Planulina austinana
Planulina kansasensis
Discorbis coloradoensis
Anomalina clementiana
Anomalina bentonensis
Pteria mosquensis
Radiolaria
Dinoflagellata
